title,overview,genre_ids,genre_names
Under the Riccione Sun,"While vacationing on the crowded beaches of Riccione, a group of teenagers becomes fast friends as they grapple with relationship issues and romance.","35,10749","Comedy,Romance"
All Inclusive,Jacco and Sylvie's shaky marriage is put to the test during their stay at an All-Inclusive resort. Jacco finds it difficult to embrace the All-Inclusive culture and at the same time has to repair his marriage and his band with the kids.,35,Comedy
Shining Through,"Spirited New Yorker Linda Voss goes to work for international lawyer and secret Office of Strategic Services operative Ed Leland just before World War II. As they fall in love, the United States enters the fight against Hitler, and Linda volunteers to work for Ed spying undercover behind Nazi lines. Assigned to uncover information about a German bomb, Linda also has personal motives to fulfill: discovering the fate of her Jewish family members in Berlin.","18,10749,53,10752","Drama,Romance,Thriller,War"
Dead Man's Wire,"Set in 1977 and based on a true story, Tony Kiritsis, a former real estate developer puts a dead man's switch on himself and the mortgage banker who did him wrong, demanding $5 million and a personal apology.","18,53,80","Drama,Thriller,Crime"
I Don't Know You and I Love You,"The operetta composer Robert Ottmar is fascinated when he discovers a picture of a young lady in a newspaper. The beauty's mere countenance inspires him to write a new operetta, which is very successful. Ottmar learns that his beloved is called Gloria and is the daughter of a general manager from Nice. In order to find out whether Gloria corresponds to his ideal image in reality, he hires himself out as a valet in her father's villa - incognito, of course.","35,10749","Comedy,Romance"
Behind the Planet of the Apes,"Roddy McDowall takes you, film by film, from production meetings to make-up sessions, then right onto the movie set to see the actual filming of the science fiction masterpiece. The most comprehensive history of Planet of the Apes ever created, this fascinating 127-minute documentary explores one of the most imaginative and influential series in movie history.","99,878,10770","Documentary,Science Fiction,TV Movie"
In Consideration of Pompeii,"Since the age of 17/18, I've been haunted by the catastrophe of Pompeii – beginning with photographs (sold as pornography in high school) of the mummified lovers caught in coitus and preserved by the volcanic ash, revivified by many ghostly photographic books, but especially illuminated by Donald Sutherland's accounts and images from first hand experience of the ruins. Finally my homage in three parts: ""The Flowers of Pompeii,"" ""Ashen Snow,"" and ""Angelus."" (Note: the first section is actually entitled ""The Sexual Partners of Pompeii."")",,
15: The Life and Death of Philip Knight,"A teen, jailed in an adult prison in Britain, takes his own life in July 1990.","18,10770","Drama,TV Movie"
John Wick,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,"28,53","Action,Thriller"
The Natural Sweetness of Skin,"Revealing women, showing men Dermatology professor Marie-Claire is embarking on a new project linking skin cells and sexuality, when unexpected events disrupt her professional, family and intimate life.",18,Drama
American Loser,"A dramatic comedy about a self-induced attention-deficit disordered, learning disabled, Tourette's syndrome suffering, balance impaired, ex-alcoholic young man from the Upper East Side of Manhattan and the gold-digging girl who inspires him to try to get it together.","18,35,10749","Drama,Comedy,Romance"
Marlina the Murderer in Four Acts,"After encountering a group of bandits with plans to rape and steal from her, a young widow ventures into the wilderness in search of justice.","53,18,37","Thriller,Drama,Western"
Menschen wie aus Glas,A German Film Award winning documentary.,99,Documentary
Thor: The Dark World,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.","28,12,14","Action,Adventure,Fantasy"
Céline Dion: A New Day… - Live in Las Vegas,An unprecedented 5 year run! More than 700 sold out shows! 3 million spectators! Everything about the record-breaking show that changed the history of entertainment scene in Las Vegas! Recorded at the Colosseum at Caesars Palace in Las Vegas.,10402,Music
Guy Martin: Last Flight of the Vulcan Bomber,"Guy Martin helps restore XH558, the last airworthy Avro Vulcan bomber, to prepare it for its last ever flight, a 1000-mile farewell tour of Great Britain, before it is grounded.",99,Documentary
My Gun is the Law,"The town of San Felipe is plagued by robberies. Two Federal Agents are sent to investigate the major suspect, a local landowner. One agent works on his ranch, the other becomes his daughter's fiance.",37,Western
Sonic the Hedgehog,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.","28,878,35,10751","Action,Science Fiction,Comedy,Family"
After We Collided,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,"10749,18","Romance,Drama"
On Swift Horses,"In the 1950s, a seemingly sensible newlywed and her wayward brother-in-law undertake parallel journeys of risk, romance, and self-discovery.","10749,18","Romance,Drama"
Death Race: Beyond Anarchy,Black Ops specialist Connor Gibson infiltrates a maximum security prison to take down legendary driver Frankenstein in a violent and brutal car race.,"28,53,878","Action,Thriller,Science Fiction"
Die Sterne lügen nicht,,35,Comedy
Kubo and the Two Strings,"Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.","16,12,10751","Animation,Adventure,Family"
The Legend of Hell's Gate: An American Conspiracy,"In 1870s Texas, a ruthless bounty hunter and an Irish desperado flee the law with a young criminal claiming to possess a treasure more valuable than gold. Crossing paths with some of the West’s most notorious figures, the three outlaws fight for their lives in the pursuit of fame and fortune. Fueled by an ensemble cast and inspired by actual events, THE LEGEND OF HELL’S GATE blends legend and history into a Western spectacle that recounts a treacherous existence in post Civil War Texas.","37,28,12,36","Western,Action,Adventure,History"
Josh Kirby... Time Warrior: Trapped on Toyworld,"For Josh Kirby, time is one big banana peel. Just as he's whooshing safely into hypertime, he takes a cosmic header and ends u in a bizarre place called Toyworld. The odds against Josh being relocated by his far-off crew: exactly 5,487,603 to 1. The odds that pursuing mad metalhead Dr. Zoetrope will find him are... Sorry, Josh, it's a slam dunk. But Josh has allies. The lifelike toy creations of fuddy-duddy tinkerer rally to his cause.","878,28,12","Science Fiction,Action,Adventure"
Chain Reaction,The cast and crew of The Caves of Androzani look back on the making of a legendary story.,99,Documentary
The Return of the Shaggy Dog,"The Return of the Shaggy Dog is a 1987 two-part television movie midquel to the 1959 feature film, The Shaggy Dog, set before the events of The Shaggy D.A..","10751,14,10770,35","Family,Fantasy,TV Movie,Comedy"
Bond of Justice: Kizuna Part I - Encounter,"A rookie detective's friend is brutally murdered by the Japanese mafia, she must revenge for her and bring justice to the world, as an assassin.","28,18,80","Action,Drama,Crime"
Evangelion: 3.0+1.0 Thrice Upon a Time,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.","16,28,878,18","Animation,Action,Science Fiction,Drama"
Gone with the Wind,The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.,"18,10752,10749","Drama,War,Romance"
Padre no hay más que dos,"Amalio and Florencio are two cabaret artists who divorce their wives and stay with custody of their children. An unscrupulous cheat the two rent both of them the same dilapidated house. There will have to live both trying to get ahead as a team of magicians who happens to be a failure. But thanks to the ideas of their children, both parents are a couple of musical comedy that, despite initial failures, is a great success with the participation of the kids. Moreover Amalio and Florencio try to flirt with girls that are radically different from their wives but the kids will all the impediments that have no future.","35,10751","Comedy,Family"
More Than a Miracle,"A fairy tale of the misadventures of a beautiful but temperamental Neapolitan peasant, Isabella, when she meets the ill- tempered Spanish Prince Rodrigo Ferrante y Davalos. The King of Spain has ordered Rodrigo to choose a wife among seven Italian Princesses, but he is smitten by the lowly peasant.","10749,35,14","Romance,Comedy,Fantasy"
Febbre di sesso prima di uccidere (Tempo d'immagini),,,
"Young, in Love","A rare film that was censored for many years, the story featured protesting university students in the process of self-discovery.","10749,18","Romance,Drama"
Rouletabille Against the Queen of Spades,"Rouletabille's fiancée, a young journalist always on the lookout for an investigation to solve, tells him how she has just suppressed a spy. Marriage is in question...","80,9648","Crime,Mystery"
Alita: Battle Angel,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past.","28,878,12","Action,Science Fiction,Adventure"
The Key Game,"Laura has been with Antonio all her life and, just when she begins to wonder if that is really the life she wants, Sergio and Siena cross paths in their lives. Sergio is a former high school classmate and Siena, his millennial girlfriend who arrives to revolutionize everyone's lives. Laura, Raquel and Cris, close friends for years, convince their respective husbands to play a game that Siena proposes to them: the game of keys. The game consists of everyone putting their keys in a bowl. At random, each one chooses some keys and he must go to spend the night with the owner of the keys. This game will revolutionize the group of friends and their lives. It will make them discover who they are and what they really want.",35,Comedy
Sonic the Hedgehog 4,The fourth installment in the Sonic the Hedgehog film franchise. Plot TBA.,"28,12,35,10751,878","Action,Adventure,Comedy,Family,Science Fiction"
Major League: Back to the Minors,At the behest of Roger Dorn -- the Minnesota Twins' silver-tongued new owner -- washed-up minor league hurler Gus Cantrell steps up to the plate to take over as skipper of the club's hapless farm team. But little does he know that Dorn has an ulterior motive to generate publicity with a grudge match between the big leaguers and their ragtag Triple A affiliate.,35,Comedy
La vita è breve ma la giornata è lunghissima,DV-shot documentary following a group of up-and-coming young Italian actors .,99,Documentary
Sniper: The Last Stand,"To stop an arms dealer from unleashing a deadly superweapon, Ace sniper Brandon Beckett and Agent Zero are deployed to Costa Verde to lead a group of elite soldiers against an unrelenting militia. Taking an untested sniper under his wing, Beckett faces his newest challenge: giving orders instead of receiving them. With both time and ammo running low in a race to save humanity, the team must overcome all odds just to survive.","28,53","Action,Thriller"
Vengeance: A Love Story,"When a new friend is brutally assaulted, Detective John Droomor is put by chance in charge of the investigation. Although the evidence against the perpetrators seems overwhelming, there is nothing definitive in the case that guarantees justice is served, even more so if some people are willing to twist and betray it.","28,18,53","Action,Drama,Thriller"
Cheaper by the Dozen 2,"Steve Martin and Bonnie Hunt return as heads of the Baker family who, while on vacation, find themselves in competition with a rival family of eight children.","35,10751,12","Comedy,Family,Adventure"
The Parent Trap,"Hallie Parker and Annie James are identical twins who were separated at a young age due to their parents' divorce. Unbeknownst to their parents, the girls are sent to the same summer camp, where they meet, discover the truth about their relationship, and come up with a plan to switch places in an effort to reunite their mother and father.","35,10751,10749","Comedy,Family,Romance"
"House of 1,000 Dolls","When a vacationing couple in Tangiers runs into an old friend there, they discover that he is searching for his missing girlfriend who has been kidnapped by an international gang of white slavers.","80,18,9648","Crime,Drama,Mystery"
Massacre Time,"In 1866, prospector Tom Corbett returns to his hometown of Laramie, Texas, now under the brutal control of gangster Jason Scott and his violent son, Junior. With his brother Jeff, a struggling drunk cared for by their maid Mercedes, Tom seeks to overthrow the Scotts' tyrannical rule and restore peace to the town.",37,Western
The Shadow of the Tyrant,"In 1920s Mexico, the candidates being chosen to succeed the current president, El Caudillo, find themselves at his mercy as he will resort to anything to accomplish his will, including kidnapping, betrayal, and murder.","36,18,53","History,Drama,Thriller"
The Fall of the Roman Empire,"In the year 180 A.D. Germanic tribes are about to invade the Roman empire from the north. In the midst of this crisis ailing emperor Marcus Aurelius has to make a decision about his successor between his son Commodus, who is obsessed by power, and the loyal general Gaius Livius.","18,36,10752","Drama,History,War"
"Pompeii New York, Part 1: Pier Caresses","A crumbling pier, its walls covered with graffiti and erotic frescoes reminiscent of pagan Pompeii, the locus of the seduction rituals of men longing for men, is the focus of this meditation on gay cruising at the height of sexual freedom before AIDS. Shot in 1982, this is the first segment of a film capturing the life, death, and rebirth of the legendary “sex piers” over the last three decades.","99,36","Documentary,History"
Seduced and Abandoned,"The film presents the tale of Agnese Ascalone, daughter of prominent miner Vincenzo Ascalone, and takes place in a small town in Sicily. Agnese is seduced by her sister Matilde's fiancé, and has a tryst with him for which she confesses and tries to repent, only to be discovered by her mother and father.","35,18","Comedy,Drama"
The Devil Wears Prada 2,"Miranda Priestly navigates her career amid the decline of traditional magazine publishing. She faces off against Emily Charlton, her one-time assistant, now a high-powered executive for a luxury group, with advertising dollars that Priestly desperately needs.","18,35","Drama,Comedy"
Weathering with You,"The summer of his high school freshman year, Hodaka runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if taking its cue from his life. After many days of solitude, he finally finds work as a freelance writer for a mysterious occult magazine. Then, one day, Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky.","16,18,14,10749","Animation,Drama,Fantasy,Romance"
A Cat's Life,The story of a lively and curious kitten who is bored in his life as a domestic cat in Paris. His fate changes when ten-year-old Clémence takes him to her country house at the heart of the Vosges. Thus begins an extraordinary adventure through the wilderness for Clémence and Rroû...,"12,10751,18,14","Adventure,Family,Drama,Fantasy"
Kill Command,"Set in a near future, technology-reliant society that pits man against killing machines. Against this backdrop an elite army unit is helicoptered to a remote, off-the-grid island training facility. What starts out as a simple training exercise for Captain Bukes and his tight-knit unit, descends into a terrifying battle to the death, as the marines discover the island is overrun by an enemy that transcends the human concept of evil.","28,27,878,53","Action,Horror,Science Fiction,Thriller"
The Last Shot,A movie director-screenwriter finds a man to finance his latest project but soon discovers that the producer is actually an undercover FBI agent working on a mob sting operation.,"28,35","Action,Comedy"
The Town that Dreaded Sundown,A masked maniac terrorizes the same small community where a murderer known as the Phantom Killer struck decades earlier.,"53,27","Thriller,Horror"
Sicario: Day of the Soldado,Agent Matt Graver teams up with operative Alejandro Gillick to prevent Mexican drug cartels from smuggling terrorists across the United States border.,"28,80,53","Action,Crime,Thriller"
Diversi come due gocce d'acqua,,"35,10770","Comedy,TV Movie"
Det ska va gôtt å leva - en film om Galenskaparna After Shave,"One of Sweden's most successful humor groups of all time; we tell their story. How it all started with small steps of success, radio sketches, folk park tours, setbacks and eventually like an albatross that is difficult to lift, in the end the humor group flies and once it lifts it flies well and long. Still after 40 years, they work together. The film also contains never before shown material, and premieres in connection with the group's 40th anniversary.",99,Documentary
Java Heat,An American in Indonesia teams up with a Muslim cop to track down a terrorist.,"28,80,18,53","Action,Crime,Drama,Thriller"
Der Zürich-Krimi: Borchert und der Mord ohne Sühne,"Hans Siegenthaler is firmly convinced that Bernadette Schanz stabbed his daughter to death out of jealousy. However, the woman was acquitted in a criminal trial. When Schanz and her husband Beat are shot with Siegenthaler's rifle, the man comes under suspicion. Instead of trusting the justice system, he goes into hiding, making himself even more suspicious. Borchert and Dominique believe in his innocence and want to help him.",,
Sharknado 5: Global Swarming,Fin and his wife April travel around the world to save their young son who's trapped inside a sharknado.,"28,35,27,878,10770","Action,Comedy,Horror,Science Fiction,TV Movie"
Assassination of a High School President,"After the theft of copies of SAT exams from a principal's office, teenage reporter Bobby Funke sets out to unmask the thief. Bobby prints an article fingering Class President Paul Moore as the thief, shredding the youth's reputation. But as Bobby gets to know Paul's girlfriend, Francesca, he comes to realize he was wrong about Paul, so he sets out to unmask the true culprit.","35,80","Comedy,Crime"
What's Happening! The Beatles in the USA,"New York, USA, February 1964. Five grueling days in the life of George, John, Paul and Ringo, the Fab Four, The Beatles: the hysterical fan reception at JFK airport; several press conferences; in their rooms at the Plaza Hotel; in the backstage at the Ed Sullivan Show; hanging out with the legendary DJ Murray the K; and the frantic return home.","99,10402","Documentary,Music"
The Jack in the Box Rises,"When a creepy Jack-in-the-Box is discovered and opened on the grounds of an exclusive girls' school, six brave students soon enter a fight to the finish against the unleashed demon.",27,Horror
My Führer,"Hitler no longer believes in himself, and can barely see himself as an equal to even his sheep dog. But to seize the helm of the war he would have to create one of his famous fiery speeches to mobilize the masses. Goebbels therefore brings a Jewish acting teacher Grünbaum and his family from the camps in order to train the leader in rhetoric. Grünbaum is torn, but starts Hitler in his therapy ...","10752,35,18","War,Comedy,Drama"
Making 'Faces',"A documentary featuring interviews with actors Lynn Carlin, Gena Rowlands, and Seymour Cassel, and cinematographer Al Ruban, in which they recall how John Cassavetes' Faces came to exist.",99,Documentary
Aus den Erinnerungen eines Frauenarztes - 2. Lüge und Wahrheit,,,
Pirate's Passage,"Set in 1952 Grey Rocks – a centuries old town that was famous 250 years ago as a favored port of pirates – Pirate’s Passage follows the story of 12-year-old Jim. Fraught by the death of his father and forced to endure schoolyard bullying each day, Jim manages to carry on, buoyed by his optimistic imagination and fueled by his sense of adventure. The sudden arrival of Captain Johnson, whose small sailboat has been thrown off course by a storm, changes Jim’s life.  The Captain quickly becomes a mentor and friend to Jim, giving him extraordinary lessons in self-reliance and determination. Soon, Jim develops a liberating self-assurance that so deeply touches the Captain that he allows Jim to see evidence that the Captain may be more than meets the eye. Is Captain Johnson the same Charles Johnson who was a pirate there two hundred years ago? The lad goes with him on a literal journey into the past to find out and emerges able to navigate the course of his life.","12,16,10751","Adventure,Animation,Family"
A Good Woman Is Hard to Find,"The recently widowed mother of two, Sarah, is desperate to know who murdered her husband in front of her young son, rendering him mute. Coerced into helping a low-life drug dealer stash narcotics stolen from the local Mr. Big, she's forced into taking drastic action to protect her children, evolving from downtrodden submissive to take-charge vigilante.","53,80","Thriller,Crime"
"Carceller, the Man Who Died Twice","The life story of Vicente Miguel Carceller (1890-1940), a Spanish editor committed to freedom who, through his weekly magazine La Traca, connected with the common people while maintaining a dangerous pulse with the powerful.","99,36","Documentary,History"
Survive,A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,"878,53,12,28","Science Fiction,Thriller,Adventure,Action"
Pet Pals and Marco Polo's Code,"The Pet Pals are put to the test when the Evil Crow Witch is determined to drain the canals of Venice. Armed with a touch of magic, the Pet Pals combine their strengths to uncover the secret code before the Evil Witch does.","16,12","Animation,Adventure"
Moon Zero Two,"On the Moon in the year 2021, a former-astronaut-turned-salvager helps a millionaire space industrialist capture a 6000-ton sapphire asteroid, while also assisting a woman in finding her missing miner/prospector brother",878,Science Fiction
"Alain Delon, la beauté du diable et les femmes...",,"99,10770","Documentary,TV Movie"
Girl with a Suitcase,"Lorenzo, who's 16 and born to a wealthy family in Parma, tries to make things right toward a showgirl, Aida, whom his older brother has mistreated. In extending kindness and standing up for her, he comes of age. But, is there anything he can do that will alter Aida's situation or her prospects?","18,10749","Drama,Romance"
A Stork's Journey,"Orphaned at birth and raised by storks, teenage sparrow Richard believes he is one of them. But when time comes to migrate to Africa, his stork family is forced to reveal his true identity and leave him behind in the forest, since he is not a migratory bird and would not survive the journey. Determined to prove he is a stork after all, Richard ventures south on his own. But only with the help of Olga, an eccentric owl with an imaginary friend and Kiki, a narcissistic, disco-singing parakeet, does he stand a chance to reach his goal and learn to accept who he really is.","16,10751,14,12,35","Animation,Family,Fantasy,Adventure,Comedy"
Dungeons & Dragons: Honor Among Thieves,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.","12,14,35","Adventure,Fantasy,Comedy"
Three Wise Men and a Baby,"Three brothers get the surprise of their lives when they are forced to work together to care for a baby over the holidays. As they slowly get the hang of things, they find themselves on unexpected journeys of self-discovery and begin to rebuild their relationships as brothers, as well as the damaged romantic and professional relationships in their respective lives…all while rediscovering their love of Christmas.","10770,35,18","TV Movie,Comedy,Drama"
La mujer de los dos,The boys in a famous pop-band all have girl troubles. And other problems. Sucks being them.,"18,10402","Drama,Music"
The Sword of the Barbarians,A swordsman's wife is murdered by followers of the evil Goddess Rani. He vows vengeance upon the cult and journeys to the Ark of the Templars to get a magic crossbow that will help him accomplish his mission.,"12,14,28,53","Adventure,Fantasy,Action,Thriller"
The Babysitter,"Overprotective mother Liz Benedict meets 18-year-old orphan Joanna Redwine and hires her as house help and live-in companion to rambunctious daughter Tara. Liz's husband Jeff isn't too thrilled with the arrangement, and his fears soon prove justified when Joanna begins to manipulate everyone and to slowly destroy the family. Meanwhile, next-door neighbor Dr. Linquist investigates and discovers Joanna has a disturbing past.","10770,53,18","TV Movie,Thriller,Drama"
The Woman Who Willed a Miracle,"Based on the true story of May Lemke. Her adopted son Leslie was born with cerebral palsy. May teaches him basic survival skills through the years. In his teens, he suddenly manifests an ability to play classical music on the piano.","10751,10770","Family,TV Movie"
Timecop 2: The Berlin Decision,"20 years after a set of events, the Time Enforcement Commission (TEC), is still going strong. Now Brandon Miller a TEC operative, believes that they have a responsibility to change history hoping that the world will be better but Ryan Chan another Tec operative stops him but kills the woman he loves in the process.","28,878","Action,Science Fiction"
The Croods,"The prehistoric Croods family live in a particularly dangerous moment in time. Patriarch Grug, his mate Ugga, teenage daughter Eep, son Thunk, and feisty Gran gather food by day and huddle together in a cave at night. When a more evolved caveman named Guy arrives on the scene, Grug is distrustful, but it soon becomes apparent that Guy is correct about the impending destruction of their world.","16,12,10751,35","Animation,Adventure,Family,Comedy"
My Husband's Worst Mistake,"When Amy’s controlling husband Brad learns she had an affair with work colleague Kirk, Brad kills her. Then he turns his attention to Kirk, specifically Kirk’s wife, with a plan to ruin the marriage of the man who “ruined” his.","10770,53,80","TV Movie,Thriller,Crime"
"Miraculous World: Tokyo, Stellar Force","Kagami drags Marinette to Tokyo to help the Stellars defeat a new supervillain, but Marinette soon realizes her friend has another, untold reason for this trip to Japan.","12,16,28,10770,35","Adventure,Animation,Action,TV Movie,Comedy"
Flesh Will Surrender,"Giovanni used to be a humble, mild-mannered government clerk whose life was turned upside down when he met Giulio, a notorious forger who at once set about manipulating the over-confident man. Giovanni did what he should never have done: he associated himself with the crook. Giulio soon laid hands on Giovanni's money, ruined his career and manhandled him into marrying his own mistress, the beautiful Ginevra. It was of course an unhappy marriage but Giovanni found a little solace when his son Ciro was born. Seven years later though, Wanzer resurfaced...",18,Drama
The Man with the Iron Heart,"With the Third Reich at its peak in 1942, the Czech resistance in London plans the most ambitious military operation of WWII –  Anthropoid. Two young recruits are sent to Prague to assassinate the most ruthless Nazi leader – Reinhard Heydrich, head of the Reich Security Main Office, the Gestapo and the architect of the Final Solution.","10752,28,36,53","War,Action,History,Thriller"
Batman: Death in the Family,Tragedy strikes the Batman's life again when Robin Jason Todd tracks down his birth mother only to run afoul of the Joker. An adaptation of the 1988 comic book storyline of the same name.,"16,28","Animation,Action"
IS＜インフィニット・ストラトス＞2 OVA ワールド・パージ編,,"16,35,28,12","Animation,Comedy,Action,Adventure"
"Red, White & Royal Blue","After an altercation between Alex, the president's son, and Britain's Prince Henry at a royal event becomes tabloid fodder, their long-running feud now threatens to drive a wedge in U.S./British relations. When the rivals are forced into a staged truce, their icy relationship begins to thaw and the friction between them sparks something deeper than they ever expected.","35,10749","Comedy,Romance"
The Last Kingdom: Seven Kings Must Die,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.","28,12,10752","Action,Adventure,War"
Toy Story 4,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.","10751,35,16,12","Family,Comedy,Animation,Adventure"
The Man in the Iron Mask,"Years have passed since the Three Musketeers, Aramis, Athos and Porthos, have fought together with their friend, D'Artagnan. But with the tyrannical King Louis using his power to wreak havoc in the kingdom while his twin brother, Philippe, remains imprisoned, the Musketeers reunite to abduct Louis and replace him with Philippe.","12,28,18","Adventure,Action,Drama"
Trouble Sleeping,"Tormented by the memories of her late-husband's suicide, Vanessa's life is further complicated by the arrival of her step-son, who will soon inherit all of his father's wealth.",53,Thriller
Final Fantasy VII: Advent Children,"Two years have passed since the final battle with Sephiroth. Though Midgar, city of mako, city of prosperity, has been reduced to ruins, its people slowly but steadily walk the road to reconstruction. However, a mysterious illness called Geostigma torments them. With no cure in sight, it brings death to the afflicted, one after another, robbing the people of their fledgling hope.","16,28,12,14,878","Animation,Action,Adventure,Fantasy,Science Fiction"
"Si Agimat, si Enteng Kabisote at si Ako","The story begins with the establishment of the three different worlds apart, bound to meet for an adventure like no other. The humble family-oriented story of Enteng Kabisote, a low-profile technician married to the beautiful fairy princesss of Encantasia, Faye; The battles of the Agimat, the brave village Warrior Hero of Amuleto; and the high tech-yuppie Kingdom of Diwatara ruled by Princess Angelina Kalinisan-Orteza, also known in the world as “AKO” where she leads an environmental advocacy organization.","14,28,12,35","Fantasy,Action,Adventure,Comedy"
A Question for Love,"This film almost literally visualize three short stories on which it is based. The difficulty was to assign real spaces in the film for the world of short stories that does not require material reality. The question of ”What is love?” is stretched into three periods: the 70s, the 80s and the 90s. The story which is divided into three periods is trying to reveal the story of the main characters through three different periods of their lives.",18,Drama
The Bloodsucker Leads the Dance,A rich count invites a theatre troupe to his home on an isolated island... but soon people start getting murdered. Has the family curse struck again?,"27,53","Horror,Thriller"
Bate's Car: Sweet as a Nut,"This short film presents Mr. Bate, an inventor who discovers a substitute for gasoline in barnyard manure. Even though he fits the classic mould of single-minded know-how and practical dreamer, his discovery is tried and tested. He demonstrates how his home-made digester does turn manure into potent methane gas that powers his auto. And for good measure, he demonstrates his latest sustainable invention – a bicycle powered by the bumps on the road.",99,Documentary
"Theft in the Evening, a Big Coup Hopefully",A comedy about two friends attempting a heist.,35,Comedy
The Day the Earth Stood Still,"A representative of an alien race that went through drastic evolution to survive its own climate change, Klaatu comes to Earth to assess whether humanity can prevent the environmental damage they have inflicted on their own planet. When barred from speaking to the United Nations, he decides humankind shall be exterminated so the planet can survive.","18,878,53","Drama,Science Fiction,Thriller"
Letters from Iwo Jima,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.","28,18,10752","Action,Drama,War"
All Flowers in Time,"""I am not from this place,"" declares a French cowboy. An old toothless man asks, ""Do you know why you're here?"" These shape-shifting personalities infect young children with an evil signal in the form of a Dutch TV show. The red-eyed girls and boys believe they can now become other people and monsters, much to their delight.","14,27","Fantasy,Horror"
The Million Dollar Rip-Off,"An electronics genius, who is an ex-con, and four of his lady friends devise a plot to steal millions of dollars from the Chicago Transit Authority. A detective, who had been keeping tabs on him since he got out of prison, suspects that he is up to something and tries to catch him at it.","80,53,10770","Crime,Thriller,TV Movie"
The Voyeur,"At a college in Rome, a professor, nicknamed ""Dodo"" is in a deep depression. His stunningly beautiful wife has just left him for another man. Dodo wants her back very badly and has erotic daydreams about her. A beautiful young student in his class asks him for a ride home and seduces the lucky man, but still he wonders about his wife and her lover.","18,10749","Drama,Romance"
A Piece of My Heart,"Isabella (35) is a driven business woman in Stockholm’s finance world. When she goes home to the small town she grew up in to celebrate her father’s sixtieth birthday, she feels like a winner, the only one in her old school gang that things have really gone well for. Isabella’s selfconfidence falters when she realizes that Simon, her great love from her teen years, is going to marry Isabella’s childhood friend Molly, and that she isn’t invited to the wedding. Isabella is accustomed to getting what she wants, and it disturbs her to see Simon so happy with someone else. Unfortunately, there are some feelings that never go away.",35,Comedy
People in the Net,Espionage thriller about a married couple caught in the middle of dueling spy organisations.,"18,80","Drama,Crime"
The Simpsons Movie,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.","16,35,10751","Animation,Comedy,Family"
Three Kings,"A group of American soldiers stationed in Iraq at the end of the Gulf War find a map they believe will take them to a huge cache of stolen Kuwaiti gold hidden near their base, and they embark on a secret mission that's destined to change everything.","28,35,10752","Action,Comedy,War"
"Russia - In the Realm of Tigers, Bears and Volcanoes","A window into Russia, unknown to Western man, and even to many Russians. ""Russia - the largest country in the world. In many of its parts, it remains unknown world full of wonders. Let the world and will continue for the generations that come after us"".",99,Documentary
